"lag_seconds","rows_"
"89461.280","6"
"137650.920","6"
"151500.260","6"
"132346.920","6"
"308644.930","6"
"130215.920","6"
"87505.370","6"
"151470.920","6"
"140081.920","6"
"77185.370","6"
"326932.930","6"
"126743.260","6"
"93081.920","6"
"323491.930","6"
"139590.920","6"
"253322.930","6"
"311840.930","6"
"88482.280","6"
"78329.260","6"
"138489.260","6"
"182857.660","6"
"76653.260","6"
"85072.280","6"
"177872.660","6"
"84891.280","6"
"145332.370","6"
"85055.280","6"
"127337.920","6"
"128567.260","6"
"210671.660","6"
"151127.260","6"
"73351.920","6"
"91478.280","6"
"155869.660","6"
"129767.920","6"
"93729.920","6"
"86833.280","6"
"237493.660","6"
"145852.920","6"
"154138.370","6"
"69523.370","6"
"71349.260","6"
"155105.260","6"
"227176.660","6"
"72303.260","6"
"152267.260","6"
"257542.930","6"
"141919.920","6"
"151689.920","6"
"218412.660","6"
"140798.260","6"
"159772.660","6"
"130364.260","6"
"314807.930","6"
"154193.370","6"
"76241.280","6"
"148242.920","6"
"225216.660","6"
"93099.370","6"
"155091.920","6"
"170350.660","6"
"74755.280","6"
"319387.930","6"
"138441.260","6"
"152728.260","6"
"231567.660","6"
"89590.280","6"
"83641.260","6"
"77713.920","6"
"150614.920","6"
"85193.920","6"
"130181.370","6"
"70256.280","6"
"82534.260","6"
"82951.280","6"
"182622.660","6"
"100720.280","6"
"76201.920","6"
"164566.660","6"
"129142.260","6"
"249547.930","6"
"254083.930","6"
"179963.660","6"
"142965.370","6"
"303349.930","6"
"149984.920","6"
"128195.260","6"
"258438.930","6"
"138095.920","6"
"318585.930","6"
"81828.920","6"
"85051.280","6"
"254053.930","6"
"167518.660","6"
"75982.260","6"
"91265.920","6"
"172387.660","6"
"154926.260","6"
"216556.660","6"
"82267.280","6"
"77544.260","6"
"254036.930","6"
"160277.660","6"
"79319.920","6"
"77890.260","6"
"69019.370","6"
"138818.920","6"
"79921.280","6"
"149075.920","6"
"136378.370","6"
"81714.920","6"
"137480.260","6"
"226895.660","6"
"153016.260","6"
"237108.660","6"
"74322.280","6"
"90957.920","6"
"133142.920","6"
"240289.660","6"
"147638.260","6"
"325575.930","6"
"182329.660","6"
"141144.920","6"
"288777.930","6"
"148115.370","6"
"140769.920","6"
"247782.930","6"
"135488.370","6"
"301212.930","6"
